Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 24,boxscore,MIL,@,SDP,W,4,1,,27-16,1,up 3.0,Burnes,Snell,Williams,3:14,N,39834,1.25,+,
44,Wednesday May 25,boxscore,MIL,@,SDP,W,2,1,,28-16,1,up 3.5,Perdomo,Darvish,Williams,3:05,D,27831,1.26,++,
45,Thursday May 26,boxscore,MIL,@,STL,W,4,3,,29-16,1,up 4.5,Lauer,Wainwright,Hader,3:21,N,35107,1.40,+++,
46,Friday May 27,boxscore,MIL,@,STL,L,2,4,,29-17,1,up 3.5,VerHagen,Woodruff,Helsley,2:54,N,39077,1.39,-,
47,Saturday May 28,boxscore,MIL,@,STL,L,3,8,,29-18,1,up 2.5,Liberatore,Houser,,2:45,D,45594,1.45,--,
48,Sunday May 29,boxscore,MIL,@,STL,W,8,0,,30-18,1,up 3.5,Burnes,Mikolas,,2:48,D,44169,1.38,+,
49,Monday May 30 (1),boxscore,MIL,@,CHC,W,7,6,,31-18,1,up 4.0,Sánchez,Norris,Hader,3:17,D,39305,1.19,++,
50,Monday May 30 (2),boxscore,MIL,@,CHC,W,3,1,,32-18,1,up 4.0,Ashby,Espinoza,Hader,2:52,N,28620,1.14,+++,
51,Tuesday May 31,boxscore,MIL,@,CHC,L,7,8,,32-19,1,up 3.0,Givens,Boxberger,Robertson,3:33,N,30596,1.14,-,
52,Wednesday Jun 1,boxscore,MIL,@,CHC,L-wo,3,4,10,32-20,1,up 2.0,Leiter,Milner,,3:03,N,33398,1.19,--,
53,Thursday Jun 2,boxscore,MIL,,SDP,W-wo,5,4,,33-20,1,up 3.0,Strzelecki,Rogers,,3:20,N,21451,1.27,+,
54,Friday Jun 3,boxscore,MIL,,SDP,L,0,7,,33-21,1,up 2.0,Musgrove,Burnes,,3:03,N,30019,1.23,-,
55,Saturday Jun 4,boxscore,MIL,,SDP,L,0,4,,33-22,1,up 1.5,Gore,Ashby,,2:43,D,37376,1.26,--,
56,Sunday Jun 5,boxscore,MIL,,SDP,L,4,6,10,33-23,1,up 0.5,Hill,Gott,Rogers,3:30,D,32285,1.32,---,
57,Tuesday Jun 7,boxscore,MIL,,PHI,L,2,3,,33-24,1,up 0.5,Brogdon,Hader,Knebel,3:00,N,27109,1.21,----,
58,Wednesday Jun 8,boxscore,MIL,,PHI,L,0,10,,33-25,1,up 0.5,Nola,Houser,,2:50,N,29353,1.27,-----,
59,Thursday Jun 9,boxscore,MIL,,PHI,L,3,8,,33-26,1,up 0.5,Domínguez,Burnes,,4:01,D,27306,1.24,------,
60,Friday Jun 10,boxscore,MIL,@,WSN,L,5,11,,33-27,2,0.5,Fedde,Ashby,,3:15,N,26111,1.19,-------,
61,Saturday Jun 11,boxscore,MIL,@,WSN,L,6,8,,33-28,2,1.5,Corbin,Lauer,,3:02,D,25265,1.16,--------,
62,Sunday Jun 12,boxscore,MIL,@,WSN,W,4,1,,34-28,2,0.5,Milner,Espino,Hader,3:11,D,22549,1.17,+,
63,Tuesday Jun 14,boxscore,MIL,@,NYM,L,0,4,,34-29,2,2.5,Bassitt,Houser,,2:39,N,28495,1.27,-,
64,Wednesday Jun 15,boxscore,MIL,@,NYM,W,10,2,,35-29,2,1.5,Burnes,Peterson,,3:11,N,25422,1.22,+,
65,Thursday Jun 16,boxscore,MIL,@,NYM,L,4,5,,35-30,2,2.0,Smith,Suter,Díaz,3:26,N,25002,1.25,-,
66,Friday Jun 17,boxscore,MIL,@,CIN,W,5,4,,36-30,2,1.0,Lauer,Detwiler,Boxberger,2:53,N,21147,1.11,+,
67,Saturday Jun 18,boxscore,MIL,@,CIN,W,7,3,,37-30,2,1.0,Alexander,Ashcraft,,3:21,D,25071,1.12,++,
68,Sunday Jun 19,boxscore,MIL,@,CIN,W,6,3,,38-30,1,Tied,Houser,Minor,Williams,3:06,D,25001,1.18,+++,
69,Monday Jun 20,boxscore,MIL,,STL,W,2,0,,39-30,1,up 1.0,Burnes,Mikolas,Hader,2:46,N,28100,1.49,++++,
70,Tuesday Jun 21,boxscore,MIL,,STL,L,2,6,,39-31,1,Tied,Thompson,González,,3:13,N,30208,1.49,-,
71,Wednesday Jun 22,boxscore,MIL,,STL,L,4,5,,39-32,2,1.0,Oviedo,Lauer,Cabrera,3:06,N,27986,1.47,--,
72,Thursday Jun 23,boxscore,MIL,,STL,W,6,4,,40-32,1,Tied,Alexander,Hudson,Hader,3:01,D,32550,1.50,+,
73,Friday Jun 24,boxscore,MIL,,TOR,L,4,9,,40-33,1,Tied,Manoah,Houser,,3:16,N,32166,1.18,-,
74,Saturday Jun 25,boxscore,MIL,,TOR,W,5,4,,41-33,1,Tied,Burnes,Kikuchi,Hader,3:10,D,34768,1.10,+,
75,Sunday Jun 26,boxscore,MIL,,TOR,W,10,3,,42-33,1,up 1.0,Gustave,Berríos,,2:51,D,35503,1.13,++,
76,Tuesday Jun 28,boxscore,MIL,@,TBR,W,5,3,,43-33,1,up 0.5,Woodruff,Wisler,Hader,3:21,N,13742,1.17,+++,
77,Wednesday Jun 29,boxscore,MIL,@,TBR,W,5,3,,44-33,1,up 1.5,Boxberger,Faucher,Hader,4:00,D,15481,1.22,++++,
78,Thursday Jun 30,boxscore,MIL,@,PIT,L,7,8,,44-34,1,up 1.0,Brubaker,Suter,De Los Santos,3:00,N,14134,1.24,-,
79,Friday Jul 1,boxscore,MIL,@,PIT,W,19,2,,45-34,1,up 2.0,Burnes,Contreras,,3:34,N,20409,1.28,+,
80,Saturday Jul 2,boxscore,MIL,@,PIT,L,4,7,,45-35,1,up 1.0,Wilson,Ashby,Bednar,2:56,D,26505,1.25,-,
81,Sunday Jul 3,boxscore,MIL,@,PIT,W,2,0,,46-35,1,up 2.0,Woodruff,Thompson,Hader,3:08,D,17578,1.25,+,
82,Monday Jul 4,boxscore,MIL,,CHC,W-wo,5,2,10,47-35,1,up 3.0,Boxberger,Effross,,3:29,D,41981,1.22,++,
83,Tuesday Jul 5,boxscore,MIL,,CHC,L,3,8,,47-36,1,up 3.0,Swarmer,Alexander,,3:03,N,30561,1.20,-,
84,Wednesday Jul 6,boxscore,MIL,,CHC,L,1,2,,47-37,1,up 3.0,Givens,Hader,Robertson,3:13,D,32696,1.21,--,
85,Friday Jul 8,boxscore,MIL,,PIT,W,4,3,,48-37,1,up 3.5,Ashby,Brubaker,Hader,3:01,N,29471,1.11,+,
86,Saturday Jul 9,boxscore,MIL,,PIT,L,3,4,,48-38,1,up 3.5,De Jong,Boxberger,Bednar,3:14,D,35384,1.09,-,
87,Sunday Jul 10,boxscore,MIL,,PIT,L,6,8,,48-39,1,up 2.5,Stratton,Gott,,3:31,D,32967,1.11,--,
