Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Saturday May 28,boxscore,PIT,@,SDP,W,4,2,,19-26,3,9.0,Banda,Rogers,Bednar,3:43,N,38189,.45,+,
46,Sunday May 29,boxscore,PIT,@,SDP,L-wo,2,4,10,19-27,3,10.0,García,Stratton,,2:50,D,44395,.51,-,
47,Monday May 30,boxscore,PIT,@,LAD,W,6,5,,20-27,3,10.5,Bednar,Kimbrel,,3:18,N,46724,.44,+,
48,Tuesday May 31,boxscore,PIT,@,LAD,W,5,3,,21-27,3,9.5,Keller,Urías,Crowe,3:09,N,52686,.45,++,
49,Wednesday Jun 1,boxscore,PIT,@,LAD,W,8,4,,22-27,3,8.5,De Jong,White,,3:28,N,39324,.52,+++,
50,Friday Jun 3,boxscore,PIT,,ARI,L,6,8,,22-28,3,9.0,Kelly,Brubaker,Melancon,3:15,N,16444,.58,-,
51,Saturday Jun 4,boxscore,PIT,,ARI,W-wo,2,1,,23-28,3,8.0,Stratton,Melancon,,2:46,D,19149,.53,+,
52,Sunday Jun 5,boxscore,PIT,,ARI,W,3,0,,24-28,3,7.0,Thompson,Gallen,Bednar,2:56,D,11796,.58,++,
53,Tuesday Jun 7,boxscore,PIT,,DET,L,3,5,,24-29,3,7.0,Skubal,Quintana,Soto,2:50,N,10214,.58,-,
54,Wednesday Jun 8,boxscore,PIT,,DET,L,1,3,,24-30,3,7.0,Vest,Crowe,Soto,2:57,D,11723,.53,--,
55,Thursday Jun 9,boxscore,PIT,@,ATL,L,1,3,,24-31,3,7.0,Fried,Brubaker,Jansen,2:26,N,39336,.55,---,
56,Friday Jun 10,boxscore,PIT,@,ATL,L,2,4,,24-32,3,7.5,Strider,Contreras,Jansen,3:04,N,41404,.50,----,
57,Saturday Jun 11,boxscore,PIT,@,ATL,L,4,10,,24-33,3,8.5,Chavez,Underwood,,2:42,D,41219,.43,-----,
58,Sunday Jun 12,boxscore,PIT,@,ATL,L,3,5,,24-34,3,8.5,Wright,Quintana,Jansen,2:48,D,35446,.39,------,
59,Monday Jun 13,boxscore,PIT,@,STL,L,5,7,,24-35,3,9.5,Gallegos,Stratton,Helsley,3:07,N,37398,.36,-------,
60,Tuesday Jun 14 (1),boxscore,PIT,@,STL,L,1,3,,24-36,3,11.5,Liberatore,Brubaker,Gallegos,2:56,D,31193,.31,--------,
61,Tuesday Jun 14 (2),boxscore,PIT,@,STL,L,1,9,,24-37,3,11.5,Mikolas,Wilson,,2:48,N,33977,.28,---------,
62,Wednesday Jun 15,boxscore,PIT,@,STL,W,6,4,,25-37,3,10.5,Crowe,Pallante,Bednar,3:14,N,38658,.22,+,
63,Friday Jun 17,boxscore,PIT,,SFG,L,0,2,,25-38,3,10.5,Rodón,Thompson,Doval,2:46,N,19075,.22,-,
64,Saturday Jun 18,boxscore,PIT,,SFG,L,5,7,,25-39,3,11.5,Wood,Crowe,Doval,3:53,D,26041,.17,--,
65,Sunday Jun 19,boxscore,PIT,,SFG,W-wo,4,3,,26-39,3,10.5,Bednar,Rogers,,2:38,D,23905,.13,+,
66,Monday Jun 20,boxscore,PIT,,CHC,W,12,1,,27-39,3,10.5,Brubaker,Kilian,,3:17,N,11312,.14,++,
67,Tuesday Jun 21,boxscore,PIT,,CHC,W,7,1,,28-39,3,9.5,Contreras,Swarmer,,2:44,N,11254,.17,+++,
68,Wednesday Jun 22,boxscore,PIT,,CHC,L,5,14,,28-40,3,10.5,Thompson,Eickhoff,,3:07,N,14083,.19,-,
69,Thursday Jun 23,boxscore,PIT,,CHC,W-wo,8,7,10,29-40,3,9.5,Stratton,Effross,,3:27,D,14529,.17,+,
70,Friday Jun 24,boxscore,PIT,@,TBR,L-wo,3,4,10,29-41,3,9.5,Adam,De Los Santos,,3:14,N,10542,.19,-,
71,Saturday Jun 25,boxscore,PIT,@,TBR,L-wo,5,6,,29-42,3,10.5,Garza,Bednar,,3:09,D,15203,.18,--,
72,Sunday Jun 26,boxscore,PIT,@,TBR,L,2,4,,29-43,3,11.5,McClanahan,Beede,Raley,2:57,D,13364,.13,---,
73,Monday Jun 27,boxscore,PIT,@,WSN,L,2,3,,29-44,3,12.0,Edwards,Stratton,Finnegan,2:54,N,18213,.13,----,
74,Tuesday Jun 28,boxscore,PIT,@,WSN,L,1,3,,29-45,3,13.0,Corbin,Crowe,Rainey,2:51,N,22575,.10,-----,
75,Wednesday Jun 29,boxscore,PIT,@,WSN,W,8,7,,30-45,3,13.0,De Jong,Edwards,De Los Santos,3:48,D,19870,.09,+,
76,Thursday Jun 30,boxscore,PIT,,MIL,W,8,7,,31-45,3,12.0,Brubaker,Suter,De Los Santos,3:00,N,14134,.10,++,
77,Friday Jul 1,boxscore,PIT,,MIL,L,2,19,,31-46,3,13.0,Burnes,Contreras,,3:34,N,20409,.16,-,
78,Saturday Jul 2,boxscore,PIT,,MIL,W,7,4,,32-46,3,12.0,Wilson,Ashby,Bednar,2:56,D,26505,.09,+,
79,Sunday Jul 3,boxscore,PIT,,MIL,L,0,2,,32-47,3,13.0,Woodruff,Thompson,Hader,3:08,D,17578,.11,-,
80,Tuesday Jul 5,boxscore,PIT,,NYY,W,5,2,,33-47,3,12.5,Quintana,Taillon,Bednar,2:59,N,37733,.08,+,
81,Wednesday Jul 6,boxscore,PIT,,NYY,L,0,16,,33-48,4,12.5,Severino,Keller,,3:21,N,32414,.09,-,
82,Thursday Jul 7 (1),boxscore,PIT,@,CIN,W,4,2,,34-48,3,12.5,Contreras,Minor,Bednar,2:49,D,13086,.08,+,
83,Thursday Jul 7 (2),boxscore,PIT,@,CIN,L,1,5,,34-49,3,12.5,Sanmartin,Wilson,,3:01,N,9575,.10,-,
84,Friday Jul 8,boxscore,PIT,@,MIL,L,3,4,,34-50,3,13.5,Ashby,Brubaker,Hader,3:01,N,29471,.10,--,
85,Saturday Jul 9,boxscore,PIT,@,MIL,W,4,3,,35-50,3,12.5,De Jong,Boxberger,Bednar,3:14,D,35384,.07,+,
86,Sunday Jul 10,boxscore,PIT,@,MIL,W,8,6,,36-50,3,11.5,Stratton,Gott,,3:31,D,32967,.10,++,
87,Monday Jul 11,boxscore,PIT,@,MIA,W,5,1,,37-50,3,11.0,Keller,Rogers,De Los Santos,3:03,N,8560,.10,+++,
88,Tuesday Jul 12,boxscore,PIT,@,MIA,W,3,2,,38-50,3,11.0,Peters,Castano,Bednar,2:43,N,8022,.13,++++,
89,Wednesday Jul 13,boxscore,PIT,@,MIA,L-wo,4,5,10,38-51,3,11.0,Pop,Bednar,,3:21,N,9524,.14,-,
90,Thursday Jul 14,boxscore,PIT,@,MIA,L-wo,2,3,11,38-52,3,12.0,Bleier,Crowe,,4:13,D,13612,.13,--,
91,Friday Jul 15,boxscore,PIT,@,COL,L,2,13,,38-53,3,12.0,Márquez,Quintana,,3:03,N,33710,.10,---,
92,Saturday Jul 16,boxscore,PIT,@,COL,L,0,2,,38-54,3,12.0,Ureña,Keller,Bard,2:40,D,34169,.08,----,
93,Sunday Jul 17,boxscore,PIT,@,COL,W,8,3,,39-54,3,11.0,Beede,Bird,,3:13,D,27591,.06,+,
94,Friday Jul 22,boxscore,PIT,,MIA,L,1,8,,39-55,3,12.0,Garrett,Thompson,,2:41,N,22316,.08,-,
95,Saturday Jul 23,boxscore,PIT,,MIA,W,1,0,,40-55,3,12.0,Quintana,Scott,Bednar,3:00,N,22560,.06,+,
