Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Saturday May 28,boxscore,DET,,CLE,L,1,8,,16-29,4,11.0,Bieber,Faedo,,2:50,D,26134,.32,-,
46,Sunday May 29,boxscore,DET,,CLE,W,2,1,,17-29,4,11.0,Lange,McKenzie,Soto,2:37,D,19990,.29,+,
47,Monday May 30,boxscore,DET,,MIN,W,7,5,,18-29,4,10.0,Jiménez,Smith,Soto,3:04,D,15191,.33,++,
48,Tuesday May 31 (1),boxscore,DET,,MIN,L,2,8,,18-30,4,10.0,Smeltzer,García,,2:46,D,11756,.37,-,
49,Tuesday May 31 (2),boxscore,DET,,MIN,W,4,0,,19-30,4,10.0,Peralta,Sands,,2:29,N,12122,.31,+,
50,Wednesday Jun 1,boxscore,DET,,MIN,W,5,0,,20-30,4,9.0,Skubal,Ober,,2:13,N,13211,.36,++,
51,Thursday Jun 2,boxscore,DET,,MIN,W,3,2,,21-30,4,8.0,Lange,Pagán,Soto,2:38,D,17972,.40,+++,
52,Friday Jun 3,boxscore,DET,@,NYY,L,0,13,,21-31,4,9.0,Cole,Rodriguez,,2:39,N,42026,.42,-,
53,Saturday Jun 4,boxscore,DET,@,NYY,L,0,3,,21-32,4,9.0,Severino,Brieske,Holmes,2:28,D,38106,.35,--,
54,Sunday Jun 5,boxscore,DET,@,NYY,L-wo,4,5,10,21-33,4,10.0,King,Soto,,3:24,D,38030,.35,---,
55,Tuesday Jun 7,boxscore,DET,@,PIT,W,5,3,,22-33,4,9.0,Skubal,Quintana,Soto,2:50,N,10214,.27,+,
56,Wednesday Jun 8,boxscore,DET,@,PIT,W,3,1,,23-33,4,9.0,Vest,Crowe,Soto,2:57,D,11723,.30,++,
57,Friday Jun 10,boxscore,DET,,TOR,L,1,10,,23-34,4,9.5,Berríos,Rodriguez,,2:50,N,26226,.37,-,
58,Saturday Jun 11,boxscore,DET,,TOR,W,3,1,,24-34,4,9.5,Brieske,Gausman,Soto,2:51,D,30738,.32,+,
59,Sunday Jun 12,boxscore,DET,,TOR,L,0,6,,24-35,4,9.5,Stripling,Skubal,,2:43,D,29399,.37,-,
