Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday May 25,boxscore,MIN,,DET,L,2,4,10,27-17,1,up 4.5,Lange,Megill,Chafin,3:45,D,20375,1.21,-,
45,Thursday May 26,boxscore,MIN,,KCR,L,2,3,,27-18,1,up 4.5,Staumont,Duffey,Barlow,3:05,N,17657,1.21,--,
46,Friday May 27,boxscore,MIN,,KCR,W,10,7,,28-18,1,up 5.0,Megill,Keller,Pagán,3:40,N,21841,1.20,+,
47,Saturday May 28,boxscore,MIN,,KCR,L,3,7,,28-19,1,up 5.0,Singer,Archer,,3:12,D,22249,1.27,-,
48,Sunday May 29,boxscore,MIN,,KCR,W,7,3,,29-19,1,up 5.0,Gray,Greinke,,3:05,D,27195,1.26,+,
49,Monday May 30,boxscore,MIN,@,DET,L,5,7,,29-20,1,up 4.5,Jiménez,Smith,Soto,3:04,D,15191,1.26,-,
50,Tuesday May 31 (1),boxscore,MIN,@,DET,W,8,2,,30-20,1,up 5.0,Smeltzer,García,,2:46,D,11756,1.24,+,
51,Tuesday May 31 (2),boxscore,MIN,@,DET,L,0,4,,30-21,1,up 5.0,Peralta,Sands,,2:29,N,12122,1.19,-,
52,Wednesday Jun 1,boxscore,MIN,@,DET,L,0,5,,30-22,1,up 5.0,Skubal,Ober,,2:13,N,13211,1.19,--,
53,Thursday Jun 2,boxscore,MIN,@,DET,L,2,3,,30-23,1,up 4.5,Lange,Pagán,Soto,2:38,D,17972,1.23,---,
54,Friday Jun 3,boxscore,MIN,@,TOR,W,9,3,,31-23,1,up 4.5,Cotton,Kikuchi,,3:02,N,27753,1.19,+,
55,Saturday Jun 4,boxscore,MIN,@,TOR,L,3,12,,31-24,1,up 4.5,Berríos,Bundy,,3:01,D,36987,1.20,-,
56,Sunday Jun 5,boxscore,MIN,@,TOR,W,8,6,,32-24,1,up 4.5,Cotton,Gausman,Moran,3:20,D,34088,1.18,+,
57,Tuesday Jun 7,boxscore,MIN,,NYY,L,4,10,,32-25,1,up 4.0,Luetge,Sands,,3:50,N,27643,1.18,-,
58,Wednesday Jun 8,boxscore,MIN,,NYY,W,8,1,,33-25,1,up 4.0,Archer,Cortes,,3:00,N,22286,1.21,+,
59,Thursday Jun 9,boxscore,MIN,,NYY,L,7,10,,33-26,1,up 3.0,Castro,Duran,Holmes,3:32,N,26646,1.21,-,
60,Friday Jun 10,boxscore,MIN,,TBR,W,9,4,,34-26,1,up 3.0,Smeltzer,Rasmussen,,2:58,N,23761,1.19,+,
