Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday May 25,boxscore,ATL,,PHI,W,8,4,,21-23,2,7.0,Strider,Suárez,,3:30,N,29339,.75,++,
45,Thursday May 26,boxscore,ATL,,PHI,L,1,4,,21-24,2,7.5,Nola,Wright,,2:43,N,33188,.78,-,
46,Friday May 27,boxscore,ATL,,MIA,W,6,4,,22-24,2,7.5,Stephens,Bass,Jansen,3:02,N,40064,.77,+,
47,Saturday May 28,boxscore,ATL,,MIA,L,1,4,,22-25,2,8.5,Alcantara,Davidson,Sulser,2:48,D,40682,.81,-,
48,Sunday May 29,boxscore,ATL,,MIA,W,6,3,,23-25,2,8.5,Fried,Hernandez,Jansen,3:09,D,39669,.74,+,
49,Monday May 30,boxscore,ATL,@,ARI,L,2,6,,23-26,2,9.5,Gallen,Strider,,2:53,N,20735,.78,-,
50,Tuesday May 31,boxscore,ATL,@,ARI,L-wo,7,8,10,23-27,2,10.5,Melancon,Stephens,,3:35,N,12686,.72,--,
51,Wednesday Jun 1,boxscore,ATL,@,ARI,W,6,0,,24-27,2,10.5,Wright,Bumgarner,,2:59,D,12370,.64,+,
52,Thursday Jun 2,boxscore,ATL,@,COL,W,13,6,,25-27,2,9.5,Anderson,Gomber,,2:58,N,26594,.68,++,
53,Friday Jun 3,boxscore,ATL,@,COL,W,3,1,10,26-27,2,8.5,Minter,Estévez,Jansen,3:32,N,37336,.76,+++,
54,Saturday Jun 4,boxscore,ATL,@,COL,W,6,2,11,27-27,2,8.5,Minter,Chacín,,3:34,N,41054,.82,++++,
55,Sunday Jun 5,boxscore,ATL,@,COL,W,8,7,,28-27,2,8.5,Morton,Feltner,Jansen,3:33,D,39409,.86,+++++,
56,Tuesday Jun 7,boxscore,ATL,,OAK,W,3,2,,29-27,2,8.0,Wright,Trivino,Jansen,2:19,N,33981,.82,++++++,
57,Wednesday Jun 8,boxscore,ATL,,OAK,W,13,2,,30-27,2,7.0,Anderson,Koenig,,2:47,N,42075,.93,+++++++,
58,Thursday Jun 9,boxscore,ATL,,PIT,W,3,1,,31-27,2,6.5,Fried,Brubaker,Jansen,2:26,N,39336,.98,++++++++,
59,Friday Jun 10,boxscore,ATL,,PIT,W,4,2,,32-27,2,6.5,Strider,Contreras,Jansen,3:04,N,41404,1.07,+++++++++,
60,Saturday Jun 11,boxscore,ATL,,PIT,W,10,4,,33-27,2,5.5,Chavez,Underwood,,2:42,D,41219,1.05,++++++++++,
61,Sunday Jun 12,boxscore,ATL,,PIT,W,5,3,,34-27,2,5.5,Wright,Quintana,Jansen,2:48,D,35446,1.10,+++++++++++,
62,Monday Jun 13,boxscore,ATL,@,WSN,W,9,5,,35-27,2,5.0,Lee,Ramírez,,3:15,N,20571,1.13,++++++++++++,
63,Tuesday Jun 14,boxscore,ATL,@,WSN,W,10,4,,36-27,2,5.0,Fried,Tetreault,Stephens,3:14,N,24490,1.15,+++++++++++++,
64,Wednesday Jun 15,boxscore,ATL,@,WSN,W,8,2,,37-27,2,4.0,Strider,Fedde,,3:27,N,21153,1.16,++++++++++++++,
65,Friday Jun 17,boxscore,ATL,@,CHC,L,0,1,,37-28,2,5.5,Martin,Minter,Robertson,2:40,D,35676,1.12,-,
66,Saturday Jun 18,boxscore,ATL,@,CHC,L,3,6,,37-29,2,6.5,Steele,Wright,,2:55,D,40755,1.12,--,
67,Sunday Jun 19,boxscore,ATL,@,CHC,W,6,0,,38-29,2,5.5,Anderson,Hendricks,,2:41,D,40369,1.08,+,
68,Monday Jun 20,boxscore,ATL,,SFG,W-wo,2,1,,39-29,2,5.5,Jansen,Doval,,2:54,N,40589,1.24,++,
69,Tuesday Jun 21,boxscore,ATL,,SFG,L,10,12,,39-30,2,5.5,Rogers,O'Day,,3:28,N,35384,1.25,-,
70,Wednesday Jun 22,boxscore,ATL,,SFG,W-wo,4,3,,40-30,2,4.5,Minter,McGee,,2:52,N,38478,1.23,+,
71,Thursday Jun 23,boxscore,ATL,,SFG,W,7,6,,41-30,2,4.0,Wright,Wood,Jansen,3:08,D,36870,1.30,++,
