Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 26,boxscore,STL,,MIL,L,3,4,,24-20,2,4.5,Lauer,Wainwright,Hader,3:21,N,35107,1.32,--,
45,Friday May 27,boxscore,STL,,MIL,W,4,2,,25-20,2,3.5,VerHagen,Woodruff,Helsley,2:54,N,39077,1.30,+,
46,Saturday May 28,boxscore,STL,,MIL,W,8,3,,26-20,2,2.5,Liberatore,Houser,,2:45,D,45594,1.32,++,
47,Sunday May 29,boxscore,STL,,MIL,L,0,8,,26-21,2,3.5,Burnes,Mikolas,,2:48,D,44169,1.34,-,
48,Monday May 30,boxscore,STL,,SDP,W,6,3,,27-21,2,4.0,Pallante,Martinez,,3:33,D,42140,1.11,+,
49,Tuesday May 31,boxscore,STL,,SDP,W-wo,3,2,10,28-21,2,3.0,VerHagen,Rogers,,3:37,N,33418,1.16,++,
50,Wednesday Jun 1,boxscore,STL,,SDP,W,5,2,,29-21,2,2.0,Hudson,Darvish,Wittgren,2:43,D,34268,1.21,+++,
51,Thursday Jun 2,boxscore,STL,@,CHC,L,5,7,,29-22,2,3.0,Thompson,Liberatore,,3:04,N,30466,1.17,-,
52,Friday Jun 3,boxscore,STL,@,CHC,W,14,5,,30-22,2,2.0,Mikolas,Stroman,Thompson,3:14,D,32482,1.21,+,
53,Saturday Jun 4 (1),boxscore,STL,@,CHC,L,1,6,,30-23,2,1.5,Swarmer,Oviedo,,3:05,D,32792,1.20,-,
54,Saturday Jun 4 (2),boxscore,STL,@,CHC,W,7,4,10,31-23,2,1.5,Gallegos,Rucker,,4:11,N,31673,1.16,+,
55,Sunday Jun 5,boxscore,STL,@,CHC,W,5,3,11,32-23,2,0.5,Cabrera,Norris,,3:44,N,31424,1.19,++,
56,Tuesday Jun 7,boxscore,STL,@,TBR,L-wo,2,4,10,32-24,2,0.5,Poche,VerHagen,,3:13,N,10905,1.18,-,
57,Wednesday Jun 8,boxscore,STL,@,TBR,L,3,11,,32-25,2,0.5,Kluber,Naughton,,3:11,N,12906,1.19,--,
58,Thursday Jun 9,boxscore,STL,@,TBR,L,1,2,,32-26,2,0.5,McClanahan,Mikolas,Adam,1:54,D,14892,1.15,---,
59,Friday Jun 10,boxscore,STL,,CIN,W,2,0,,33-26,1,up 0.5,Pallante,Castillo,Helsley,2:47,N,45009,1.17,+,
60,Saturday Jun 11,boxscore,STL,,CIN,W-wo,5,4,,34-26,1,up 1.5,Wittgren,Kuhnel,,3:10,D,43832,1.15,++,
61,Sunday Jun 12,boxscore,STL,,CIN,L,6,7,,34-27,1,up 0.5,Hoffman,Hudson,Díaz,3:12,D,43083,1.20,-,
62,Monday Jun 13,boxscore,STL,,PIT,W,7,5,,35-27,1,up 1.0,Gallegos,Stratton,Helsley,3:07,N,37398,1.21,+,
63,Tuesday Jun 14 (1),boxscore,STL,,PIT,W,3,1,,36-27,1,up 2.5,Liberatore,Brubaker,Gallegos,2:56,D,31193,1.22,++,
64,Tuesday Jun 14 (2),boxscore,STL,,PIT,W,9,1,,37-27,1,up 2.5,Mikolas,Wilson,,2:48,N,33977,1.25,+++,
65,Wednesday Jun 15,boxscore,STL,,PIT,L,4,6,,37-28,1,up 1.5,Crowe,Pallante,Bednar,3:14,N,38658,1.23,-,
66,Friday Jun 17,boxscore,STL,@,BOS,L,5,6,,37-29,1,up 1.0,Wacha,Wainwright,Houck,3:05,N,35251,1.14,--,
67,Saturday Jun 18,boxscore,STL,@,BOS,W,11,2,,38-29,1,up 1.0,Hudson,Crawford,,3:28,N,36141,1.16,+,
68,Sunday Jun 19,boxscore,STL,@,BOS,L,4,6,,38-30,1,Tied,Pivetta,Pallante,Houck,3:13,D,35989,1.18,-,
69,Monday Jun 20,boxscore,STL,@,MIL,L,0,2,,38-31,2,1.0,Burnes,Mikolas,Hader,2:46,N,28100,1.50,--,
70,Tuesday Jun 21,boxscore,STL,@,MIL,W,6,2,,39-31,1,Tied,Thompson,González,,3:13,N,30208,1.49,+,
71,Wednesday Jun 22,boxscore,STL,@,MIL,W,5,4,,40-31,1,up 1.0,Oviedo,Lauer,Cabrera,3:06,N,27986,1.48,++,
72,Thursday Jun 23,boxscore,STL,@,MIL,L,4,6,,40-32,1,Tied,Alexander,Hudson,Hader,3:01,D,32550,1.51,-,
73,Friday Jun 24,boxscore,STL,,CHC,L,0,3,,40-33,1,Tied,Hendricks,Pallante,Robertson,2:43,N,46524,1.17,--,
74,Saturday Jun 25,boxscore,STL,,CHC,W,5,3,,41-33,1,Tied,Helsley,Leiter,,3:22,D,45159,1.12,+,
75,Sunday Jun 26,boxscore,STL,,CHC,L,5,6,10,41-34,2,1.0,Robertson,Thompson,,3:50,D,44824,1.18,-,
76,Monday Jun 27,boxscore,STL,,MIA,W,9,0,,42-34,2,0.5,Wainwright,López,,2:40,N,34701,1.15,+,
77,Tuesday Jun 28,boxscore,STL,,MIA,W,5,3,,43-34,2,0.5,Hudson,Garrett,Helsley,3:01,N,32065,1.22,++,
78,Wednesday Jun 29,boxscore,STL,,MIA,L,3,4,,43-35,2,1.5,Alcantara,Helsley,,2:35,N,35674,1.24,-,
79,Friday Jul 1,boxscore,STL,@,PHI,L,3,5,,43-36,2,2.0,Alvarado,Mikolas,Hand,3:20,N,36077,1.28,--,
80,Saturday Jul 2,boxscore,STL,@,PHI,W,7,6,,44-36,2,1.0,Helsley,Domínguez,,4:05,D,27657,1.27,+,
81,Sunday Jul 3,boxscore,STL,@,PHI,L,0,4,,44-37,2,2.0,Wheeler,Wainwright,,3:03,N,44225,1.30,-,
82,Monday Jul 4,boxscore,STL,@,ATL,L,3,6,,44-38,2,3.0,O'Day,Hudson,Smith,3:01,N,41975,1.27,--,
83,Tuesday Jul 5,boxscore,STL,@,ATL,L,1,7,,44-39,2,3.0,Anderson,Pallante,,3:07,N,35656,1.23,---,
84,Wednesday Jul 6,boxscore,STL,@,ATL,L,0,3,,44-40,2,3.0,Fried,Mikolas,Minter,2:32,N,36718,1.18,----,
85,Thursday Jul 7,boxscore,STL,@,ATL,W,3,2,11,45-40,2,2.5,Helsley,Matzek,Naughton,3:50,N,37756,1.16,+,
86,Friday Jul 8,boxscore,STL,,PHI,L,0,2,,45-41,2,3.5,Wheeler,Wainwright,Hand,2:23,N,41100,1.19,-,
87,Saturday Jul 9,boxscore,STL,,PHI,L,0,1,,45-42,2,3.5,Alvarado,Gallegos,Knebel,2:58,D,41853,1.17,--,
88,Sunday Jul 10,boxscore,STL,,PHI,W,4,3,,46-42,2,2.5,Hicks,Domínguez,Helsley,3:09,D,36112,1.06,+,
89,Monday Jul 11,boxscore,STL,,PHI,W,6,1,,47-42,2,2.0,Mikolas,Nola,,2:41,N,34399,1.14,++,
90,Tuesday Jul 12,boxscore,STL,,LAD,W,7,6,,48-42,2,2.0,Oviedo,White,Gallegos,3:28,N,37150,1.10,+++,
91,Wednesday Jul 13,boxscore,STL,,LAD,L,6,7,,48-43,2,2.0,Kimbrel,Gallegos,Phillips,3:46,N,39292,1.16,-,
92,Thursday Jul 14,boxscore,STL,,LAD,L,0,4,,48-44,2,3.0,Anderson,Hudson,,3:00,N,40062,1.10,--,
93,Friday Jul 15,boxscore,STL,,CIN,W,7,3,,49-44,2,2.0,Pallante,Greene,Helsley,3:33,N,41221,1.00,+,
94,Saturday Jul 16,boxscore,STL,,CIN,W,11,3,,50-44,2,1.0,Mikolas,Lodolo,,3:20,D,41014,1.01,++,
95,Friday Jul 22,boxscore,STL,@,CIN,L,5,9,,50-45,2,1.5,Sanmartin,Wainwright,,3:21,N,25547,1.00,-,
96,Saturday Jul 23,boxscore,STL,@,CIN,W,6,3,,51-45,2,1.5,Matz,Minor,Helsley,3:27,N,27190,.99,+,
97,Sunday Jul 24,boxscore,STL,@,CIN,L,3,6,,51-46,2,2.5,Mahle,Mikolas,Strickland,2:44,D,18813,.99,-,
98,Tuesday Jul 26,boxscore,STL,@,TOR,L,3,10,,51-47,2,3.0,Mayza,Hicks,,3:14,N,39756,.99,--,
99,Wednesday Jul 27,boxscore,STL,@,TOR,W,6,1,,52-47,2,3.0,Wainwright,Gausman,,2:57,N,36666,.98,+,
100,Friday Jul 29,boxscore,STL,@,WSN,W,6,2,,53-47,2,3.0,Mikolas,Sánchez,,2:42,N,30170,.97,++,
101,Saturday Jul 30,boxscore,STL,@,WSN,L,6,7,,53-48,2,4.0,Ramírez,Cabrera,Finnegan,3:18,N,34440,.97,-,
102,Sunday Jul 31,boxscore,STL,@,WSN,W,5,0,,54-48,2,3.0,Pallante,Gray,,2:50,D,28738,.93,+,
103,Tuesday Aug 2,boxscore,STL,,CHC,W,6,0,,55-48,2,2.0,Wainwright,Thompson,,2:37,N,44344,.94,++,
104,Thursday Aug 4 (1),boxscore,STL,,CHC,W-wo,4,3,,56-48,1,Tied,Helsley,Uelmen,,2:51,D,41734,.94,+++,
105,Thursday Aug 4 (2),boxscore,STL,,CHC,W,7,2,,57-48,1,Tied,Hicks,Castro,,3:08,N,44669,.92,++++,
106,Friday Aug 5,boxscore,STL,,NYY,W,4,3,,58-48,1,Tied,Pallante,Holmes,Helsley,3:19,N,46940,.91,+++++,
107,Saturday Aug 6,boxscore,STL,,NYY,W,1,0,,59-48,1,up 1.0,Montgomery,Germán,Gallegos,3:06,N,48581,.92,++++++,
108,Sunday Aug 7,boxscore,STL,,NYY,W,12,9,,60-48,1,up 2.0,Stratton,Abreu,Helsley,4:25,D,46472,.86,+++++++,
109,Tuesday Aug 9,boxscore,STL,@,COL,L,5,16,,60-49,1,up 1.0,Feltner,Mikolas,,3:05,N,35011,.80,-,
110,Wednesday Aug 10,boxscore,STL,@,COL,W,9,5,,61-49,1,up 1.0,Quintana,Freeland,,3:21,N,35164,.86,+,
111,Thursday Aug 11,boxscore,STL,@,COL,L,6,8,,61-50,1,up 0.5,Gilbreath,Hicks,Bard,3:15,D,30293,.88,-,
112,Friday Aug 12,boxscore,STL,,MIL,W,3,1,,62-50,1,up 1.5,Montgomery,Lauer,Helsley,2:53,N,45669,1.31,+,
113,Saturday Aug 13,boxscore,STL,,MIL,L,2,3,10,62-51,1,up 0.5,Williams,Gallegos,Bush,3:01,N,45905,1.34,-,
114,Sunday Aug 14,boxscore,STL,,MIL,W,6,3,,63-51,1,up 1.5,Mikolas,Rogers,,2:17,D,44142,1.32,+,
