Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 26,boxscore,CHW,,BOS,L,7,16,,22-22,2,4.5,Schreiber,Keuchel,,4:02,N,24896,1.02,-,
45,Saturday May 28,boxscore,CHW,,CHC,L,1,5,,22-23,2,5.0,Thompson,Cueto,,3:03,N,37820,.89,--,
46,Sunday May 29,boxscore,CHW,,CHC,W-wo,5,4,12,23-23,2,5.0,Foster,Gsellman,,3:54,D,38080,.86,+,
47,Tuesday May 31,boxscore,CHW,@,TOR,L,5,6,,23-24,2,5.0,Gausman,Giolito,Romano,3:24,N,25424,.97,-,
48,Wednesday Jun 1,boxscore,CHW,@,TOR,L,3,7,,23-25,2,5.0,Stripling,Kopech,,3:14,N,23312,.88,--,
49,Thursday Jun 2,boxscore,CHW,@,TOR,L,3,8,,23-26,3,5.0,Manoah,Cueto,,3:05,D,25250,.85,---,
50,Friday Jun 3,boxscore,CHW,@,TBR,L,3,6,,23-27,3,6.0,McClanahan,Martin,Poche,3:09,N,8930,.81,----,
51,Saturday Jun 4,boxscore,CHW,@,TBR,W,3,2,,24-27,3,5.0,Crick,Beeks,Hendriks,3:03,D,19452,.72,+,
52,Sunday Jun 5,boxscore,CHW,@,TBR,W,6,5,,25-27,3,5.0,Giolito,Yarbrough,Hendriks,3:18,D,11162,.82,++,
53,Tuesday Jun 7,boxscore,CHW,,LAD,W,4,0,,26-27,2,4.0,Kopech,Bickford,,2:49,N,25625,.80,+++,
54,Wednesday Jun 8,boxscore,CHW,,LAD,L,1,4,,26-28,3,5.0,Gonsolin,Cueto,Hudson,2:36,N,25078,.85,-,
55,Thursday Jun 9,boxscore,CHW,,LAD,L,9,11,,26-29,3,5.0,Graterol,Cease,,4:13,D,25482,.78,--,
56,Friday Jun 10,boxscore,CHW,,TEX,W,8,3,,27-29,3,5.0,Graveman,King,,2:59,N,24270,.77,+,
57,Saturday Jun 11,boxscore,CHW,,TEX,L,9,11,10,27-30,3,6.0,Moore,Foster,,4:03,D,30221,.83,-,
58,Sunday Jun 12,boxscore,CHW,,TEX,L,6,8,12,27-31,3,6.0,Barlow,Foster,Allard,4:17,D,31096,.75,--,
59,Monday Jun 13,boxscore,CHW,@,DET,W,9,5,,28-31,3,6.0,Sousa,García,,3:20,N,16634,.66,+,
60,Tuesday Jun 14,boxscore,CHW,@,DET,W,5,1,,29-31,3,5.0,Cease,Hutchison,,3:20,N,16450,.75,++,
61,Wednesday Jun 15,boxscore,CHW,@,DET,W,13,0,,30-31,3,5.0,Martin,Faedo,,2:51,D,20726,.81,+++,
62,Friday Jun 17,boxscore,CHW,@,HOU,L,3,13,,30-32,3,5.0,Valdez,Giolito,,2:55,N,35467,.92,-,
63,Saturday Jun 18,boxscore,CHW,@,HOU,W,7,0,,31-32,3,5.0,Cueto,Verlander,,2:51,D,36747,.82,+,
64,Sunday Jun 19,boxscore,CHW,@,HOU,L,3,4,,31-33,3,5.0,Javier,Kopech,Pressly,3:05,N,37709,.90,-,
65,Monday Jun 20,boxscore,CHW,,TOR,W,8,7,,32-33,3,4.5,Lynn,Berríos,Kelly,2:55,N,22482,.83,+,
66,Tuesday Jun 21,boxscore,CHW,,TOR,W-wo,7,6,12,33-33,3,3.5,Velasquez,Gage,,4:23,N,20529,.87,++,
67,Wednesday Jun 22,boxscore,CHW,,TOR,L,5,9,,33-34,3,4.5,Stripling,Giolito,,3:07,D,19406,.89,-,
68,Thursday Jun 23,boxscore,CHW,,BAL,L,0,4,,33-35,3,4.5,Kremer,Cueto,López,3:11,N,22431,.78,--,
69,Friday Jun 24,boxscore,CHW,,BAL,L,1,4,,33-36,3,4.5,Krehbiel,Kopech,López,2:55,N,27943,.76,---,
70,Saturday Jun 25,boxscore,CHW,,BAL,L,2,6,,33-37,3,5.5,Watkins,Lynn,,2:48,D,29282,.69,----,
71,Sunday Jun 26,boxscore,CHW,,BAL,W,4,3,,34-37,3,5.5,Cease,Lyles,Graveman,2:35,D,29191,.62,+,
72,Monday Jun 27,boxscore,CHW,@,LAA,L,3,4,,34-38,3,6.5,Syndergaard,López,Iglesias,2:42,N,21973,.67,-,
73,Tuesday Jun 28,boxscore,CHW,@,LAA,W,11,4,,35-38,3,6.0,Cueto,Ortega,,3:16,N,23979,.62,+,
74,Wednesday Jun 29,boxscore,CHW,@,LAA,L,1,4,,35-39,3,6.0,Ohtani,Kopech,Iglesias,3:21,N,27612,.68,-,
75,Friday Jul 1,boxscore,CHW,@,SFG,W,1,0,,36-39,3,5.5,Banks,Doval,Graveman,2:59,N,35266,.59,+,
76,Saturday Jul 2,boxscore,CHW,@,SFG,W,5,3,,37-39,3,5.5,Cease,Webb,Graveman,3:18,D,30804,.63,++,
77,Sunday Jul 3,boxscore,CHW,@,SFG,W,13,4,,38-39,3,4.5,Giolito,Hjelle,,3:22,D,30155,.68,+++,
78,Monday Jul 4,boxscore,CHW,,MIN,L,3,6,10,38-40,3,5.5,Pagán,Kelly,,3:13,N,32483,.89,-,
79,Tuesday Jul 5,boxscore,CHW,,MIN,L,2,8,,38-41,3,6.5,Winder,Kopech,,2:59,N,18566,.82,--,
80,Wednesday Jul 6,boxscore,CHW,,MIN,W-wo,9,8,10,39-41,3,5.5,Ruiz,Moran,,3:47,D,18393,.73,+,
81,Thursday Jul 7,boxscore,CHW,,DET,L,1,2,,39-42,3,6.0,Brieske,Cease,Soto,3:00,N,21876,.71,-,
82,Friday Jul 8,boxscore,CHW,,DET,L,5,7,,39-43,3,6.0,Skubal,Giolito,Fulmer,2:56,N,29215,.62,--,
83,Saturday Jul 9,boxscore,CHW,,DET,W,8,0,,40-43,3,5.0,Cueto,Hill,,2:35,D,29215,.60,+,
84,Sunday Jul 10,boxscore,CHW,,DET,W,4,2,,41-43,3,5.0,Graveman,Fulmer,Hendriks,2:46,D,31072,.66,++,
85,Monday Jul 11,boxscore,CHW,@,CLE,L,4,8,,41-44,3,5.5,Quantrill,Lynn,,2:51,N,13655,.78,-,
86,Tuesday Jul 12 (1),boxscore,CHW,@,CLE,L,1,4,,41-45,3,5.0,Bieber,Martin,,2:09,D,11342,.73,--,
87,Tuesday Jul 12 (2),boxscore,CHW,@,CLE,W,7,0,,42-45,3,5.0,Cease,Pilkington,,3:15,N,11750,.70,+,
88,Wednesday Jul 13,boxscore,CHW,@,CLE,W,2,1,,43-45,3,5.0,Giolito,Hentges,Hendriks,2:57,N,13987,.77,++,
89,Thursday Jul 14,boxscore,CHW,@,MIN,W,12,2,,44-45,3,4.0,Cueto,Gray,,3:19,N,26907,.82,+++,
90,Friday Jul 15,boxscore,CHW,@,MIN,W,6,2,,45-45,3,3.0,Kopech,Pagán,,3:09,N,27021,.94,++++,
91,Saturday Jul 16,boxscore,CHW,@,MIN,L,3,6,,45-46,3,4.0,Bundy,Lynn,Duran,3:12,D,28514,.99,-,
92,Sunday Jul 17,boxscore,CHW,@,MIN,W,11,0,,46-46,3,3.0,Cease,Archer,,3:09,D,23225,.92,+,
93,Friday Jul 22,boxscore,CHW,,CLE,L,2,8,,46-47,3,3.5,Quantrill,Giolito,,3:20,N,31379,.91,-,
94,Saturday Jul 23 (1),boxscore,CHW,,CLE,L,4,7,,46-48,3,4.0,Stephan,Hendriks,Clase,2:58,D,18518,.87,--,
95,Saturday Jul 23 (2),boxscore,CHW,,CLE,W,5,4,,47-48,3,4.0,Kelly,Shaw,Foster,3:06,N,26329,.79,+,
96,Sunday Jul 24,boxscore,CHW,,CLE,W,6,3,,48-48,3,4.0,Cease,Bieber,,2:31,D,30831,.88,++,
97,Tuesday Jul 26,boxscore,CHW,@,COL,W,2,1,,49-48,3,3.0,Kopech,Márquez,Hendriks,3:16,N,40233,.76,+++,
98,Wednesday Jul 27,boxscore,CHW,@,COL,L-wo,5,6,,49-49,3,3.0,Stephenson,Graveman,,3:36,D,30731,.81,-,
99,Friday Jul 29,boxscore,CHW,,OAK,L,3,7,,49-50,3,3.0,Kaprielian,Lynn,,2:54,N,28503,.77,--,
100,Saturday Jul 30,boxscore,CHW,,OAK,W-wo,3,2,,50-50,3,3.0,Hendriks,Jackson,,2:50,N,28142,.72,+,
101,Sunday Jul 31,boxscore,CHW,,OAK,W,4,1,,51-50,3,2.0,Cease,Oller,Hendriks,2:42,D,30028,.78,++,
102,Monday Aug 1,boxscore,CHW,,KCR,L,1,2,,51-51,3,3.0,Lynch,Kopech,Barlow,2:55,N,17500,.86,-,
103,Tuesday Aug 2,boxscore,CHW,,KCR,W,9,2,,52-51,3,2.0,Giolito,Keller,,2:52,N,24361,.76,+,
104,Wednesday Aug 3,boxscore,CHW,,KCR,W,4,1,,53-51,3,2.0,Lynn,Singer,Hendriks,2:35,D,19753,.83,++,
105,Thursday Aug 4,boxscore,CHW,@,TEX,L,2,3,,53-52,3,2.0,Burke,Cueto,Hernández,2:45,N,20972,.90,-,
106,Friday Aug 5,boxscore,CHW,@,TEX,W,2,1,,54-52,2,2.0,Cease,Otto,Hendriks,3:00,N,25470,.87,+,
