Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 26,boxscore,CIN,,CHC,W,20,5,,14-30,5,14.5,Greene,Steele,,3:10,D,13578,.15,++,
45,Friday May 27,boxscore,CIN,,SFG,W,5,1,,15-30,5,13.5,Ashcraft,Rodón,Warren,3:16,N,19000,.17,+++,
46,Saturday May 28,boxscore,CIN,,SFG,W,3,2,,16-30,5,12.5,Gutiérrez,Wood,Santillan,3:00,D,26655,.22,++++,
47,Sunday May 29,boxscore,CIN,,SFG,L,4,6,,16-31,5,13.5,Brebbia,Warren,,3:10,D,20439,.24,-,
48,Tuesday May 31,boxscore,CIN,@,BOS,W,2,1,,17-31,5,13.5,Castillo,Wacha,Santillan,3:04,N,28577,.17,+,
49,Wednesday Jun 1,boxscore,CIN,@,BOS,L,1,7,,17-32,5,13.5,Whitlock,Greene,,2:40,N,30219,.19,-,
50,Thursday Jun 2,boxscore,CIN,,WSN,W,8,1,,18-32,5,13.5,Ashcraft,Adon,,2:40,N,12799,.18,+,
51,Friday Jun 3,boxscore,CIN,,WSN,L,5,8,,18-33,5,13.5,Gray,Minor,Rainey,3:09,N,19032,.21,-,
52,Saturday Jun 4,boxscore,CIN,,WSN,L,8,10,,18-34,5,13.5,Finnegan,Strickland,Rainey,3:44,D,23128,.18,--,
53,Sunday Jun 5,boxscore,CIN,,WSN,L,4,5,,18-35,5,13.5,Corbin,Castillo,Cishek,3:22,D,16380,.13,---,
54,Monday Jun 6,boxscore,CIN,,ARI,W,7,0,7,19-35,5,13.0,Greene,Bumgarner,,2:13,N,9485,.12,+,
55,Tuesday Jun 7,boxscore,CIN,,ARI,W,14,8,,20-35,5,12.0,Ashcraft,Gilbert,,3:12,N,11512,.13,++,
56,Wednesday Jun 8,boxscore,CIN,,ARI,L,0,7,,20-36,5,12.0,Kelly,Minor,,3:18,N,11957,.17,-,
57,Thursday Jun 9,boxscore,CIN,,ARI,L,4,5,,20-37,5,12.0,Melancon,Santillan,Kennedy,3:29,D,13167,.14,--,
58,Friday Jun 10,boxscore,CIN,@,STL,L,0,2,,20-38,5,12.5,Pallante,Castillo,Helsley,2:47,N,45009,.13,---,
59,Saturday Jun 11,boxscore,CIN,@,STL,L-wo,4,5,,20-39,5,13.5,Wittgren,Kuhnel,,3:10,D,43832,.12,----,
60,Sunday Jun 12,boxscore,CIN,@,STL,W,7,6,,21-39,5,12.5,Hoffman,Hudson,Díaz,3:12,D,43083,.09,+,
61,Monday Jun 13,boxscore,CIN,@,ARI,W,5,4,,22-39,5,12.5,Minor,Kelly,Strickland,3:20,N,13735,.10,++,
62,Tuesday Jun 14,boxscore,CIN,@,ARI,W,5,3,12,23-39,5,13.0,Cessa,Poppen,Kuhnel,3:41,N,15081,.12,+++,
63,Wednesday Jun 15,boxscore,CIN,@,ARI,L,4,7,,23-40,5,13.0,Ramirez,Warren,,2:50,D,14917,.12,-,
64,Friday Jun 17,boxscore,CIN,,MIL,L,4,5,,23-41,5,13.0,Lauer,Detwiler,Boxberger,2:53,N,21147,.13,--,
65,Saturday Jun 18,boxscore,CIN,,MIL,L,3,7,,23-42,5,14.0,Alexander,Ashcraft,,3:21,D,25071,.10,---,
66,Sunday Jun 19,boxscore,CIN,,MIL,L,3,6,,23-43,5,14.0,Houser,Minor,Williams,3:06,D,25001,.07,----,
