Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday May 25,boxscore,SDP,,MIL,L,1,2,,28-16,2,1.5,Perdomo,Darvish,Williams,3:05,D,27831,1.17,--,
45,Friday May 27,boxscore,SDP,,PIT,W,4,3,,29-16,2,2.0,Crismatt,Underwood,Rogers,2:56,N,41898,1.09,+,
46,Saturday May 28,boxscore,SDP,,PIT,L,2,4,,29-17,2,3.0,Banda,Rogers,Bednar,3:43,N,38189,1.12,-,
47,Sunday May 29,boxscore,SDP,,PIT,W-wo,4,2,10,30-17,2,3.0,García,Stratton,,2:50,D,44395,1.10,+,
48,Monday May 30,boxscore,SDP,@,STL,L,3,6,,30-18,2,3.0,Pallante,Martinez,,3:33,D,42140,1.11,-,
49,Tuesday May 31,boxscore,SDP,@,STL,L-wo,2,3,10,30-19,2,3.0,VerHagen,Rogers,,3:37,N,33418,1.14,--,
50,Wednesday Jun 1,boxscore,SDP,@,STL,L,2,5,,30-20,2,3.0,Hudson,Darvish,Wittgren,2:43,D,34268,1.15,---,
51,Thursday Jun 2,boxscore,SDP,@,MIL,L-wo,4,5,,30-21,2,4.0,Strzelecki,Rogers,,3:20,N,21451,1.21,----,
52,Friday Jun 3,boxscore,SDP,@,MIL,W,7,0,,31-21,2,4.0,Musgrove,Burnes,,3:03,N,30019,1.14,+,
53,Saturday Jun 4,boxscore,SDP,@,MIL,W,4,0,,32-21,2,3.0,Gore,Ashby,,2:43,D,37376,1.18,++,
54,Sunday Jun 5,boxscore,SDP,@,MIL,W,6,4,10,33-21,2,2.0,Hill,Gott,Rogers,3:30,D,32285,1.19,+++,
55,Monday Jun 6,boxscore,SDP,,NYM,L,5,11,,33-22,2,2.5,Carrasco,Snell,,3:43,N,34858,1.22,-,
56,Tuesday Jun 7,boxscore,SDP,,NYM,W,7,0,,34-22,2,1.5,Darvish,Walker,,2:48,N,31796,1.20,+,
57,Wednesday Jun 8,boxscore,SDP,,NYM,W,13,2,,35-22,2,1.5,Manaea,Bassitt,,2:58,N,40992,1.20,++,
58,Friday Jun 10,boxscore,SDP,,COL,W,9,0,,36-22,2,1.0,Musgrove,Kuhl,,3:04,N,35207,1.14,+++,
59,Saturday Jun 11 (1),boxscore,SDP,,COL,W-wo,2,1,10,37-22,2,0.5,Wilson,Estévez,,3:03,D,31415,1.17,++++,
60,Saturday Jun 11 (2),boxscore,SDP,,COL,L,2,6,,37-23,2,0.5,Freeland,Gore,,3:20,N,30040,1.13,-,
61,Sunday Jun 12,boxscore,SDP,,COL,L,2,4,,37-24,2,0.5,Márquez,García,Bard,2:41,D,41754,1.18,--,
62,Monday Jun 13,boxscore,SDP,@,CHC,W,4,1,,38-24,1,Tied,Darvish,Wick,Rogers,2:45,N,31629,1.16,+,
63,Tuesday Jun 14,boxscore,SDP,@,CHC,W,12,5,,39-24,1,Tied,Tyler,Effross,,3:13,N,29233,1.15,++,
64,Wednesday Jun 15,boxscore,SDP,@,CHC,W,19,5,,40-24,1,Tied,Stammen,Kilian,,3:46,N,31570,1.17,+++,
