away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Justin Verlander,N,,Top,,Angel Stadium,2022-04-10T01:07:00Z,117,2022-04-09,1,9,Final,Houston Astros,Noah Syndergaard,Noah Syndergaard,2022-04-09 - Houston Astros (0) @ Los Angeles Angels (2) (Final),R,0,Los Angeles Angels,661040,Los Angeles Angels,2,1,Raisel Iglesias,108,Houston Astros,HOU leads 2-1,Justin Verlander,['MLB.tv Free Game']
,Jose Urquidy,N,,Bottom,,Angel Stadium,2022-04-10T20:07:00Z,117,2022-04-10,1,9,Final,Houston Astros,Jose Suarez,Jose Urquidy,2022-04-10 - Houston Astros (4) @ Los Angeles Angels (1) (Final),R,4,Los Angeles Angels,661039,Houston Astros,1,1,Ryan Pressly,108,Los Angeles Angels,HOU wins 3-1,Jose Suarez,[]
,Elieser Hernandez,N,,Top,,Angel Stadium,2022-04-12T01:38:00Z,146,2022-04-11,1,9,Final,Miami Marlins,Michael Lorenzen,Michael Lorenzen,2022-04-11 - Miami Marlins (2) @ Los Angeles Angels (6) (Final),R,2,Los Angeles Angels,661036,Los Angeles Angels,6,1,,108,Miami Marlins,LAA leads 1-0,Elieser Hernandez,['MLBN (out-of-market only)']
,Jesus Luzardo,N,,Bottom,,Angel Stadium,2022-04-12T23:07:00Z,146,2022-04-12,1,9,Final,Miami Marlins,Patrick Sandoval,Raisel Iglesias,2022-04-12 - Miami Marlins (3) @ Los Angeles Angels (4) (Final),R,3,Los Angeles Angels,661038,Los Angeles Angels,4,1,,108,Miami Marlins,LAA wins 2-0,Anthony Bender,[]
,Shohei Ohtani,N,,Top,,Globe Life Field,2022-04-15T00:05:00Z,108,2022-04-14,5325,9,Final,Los Angeles Angels,Dane Dunning,John King,2022-04-14 - Los Angeles Angels (5) @ Texas Rangers (10) (Final),R,5,Texas Rangers,661993,Texas Rangers,10,1,,140,Los Angeles Angels,TEX leads 1-0,Shohei Ohtani,"['MLBN (out-of-market only)', 'MLB.tv Free Game']"
,Reid Detmers,N,,Bottom,,Globe Life Field,2022-04-16T00:05:00Z,108,2022-04-15,5325,9,Final,Los Angeles Angels,Matt Bush,Austin Warren,2022-04-15 - Los Angeles Angels (9) @ Texas Rangers (6) (Final),R,9,Texas Rangers,662014,Los Angeles Angels,6,1,Raisel Iglesias,140,Texas Rangers,Series tied 1-1,Kolby Allard,[]
,Noah Syndergaard,N,,Bottom,,Globe Life Field,2022-04-16T23:05:00Z,108,2022-04-16,5325,9,Final,Los Angeles Angels,Taylor Hearn,Noah Syndergaard,2022-04-16 - Los Angeles Angels (7) @ Texas Rangers (2) (Final),R,7,Texas Rangers,661981,Los Angeles Angels,2,1,,140,Texas Rangers,LAA leads 2-1,Taylor Hearn,['MLBN (out-of-market only)']
,Jose Suarez,N,,Bottom,,Globe Life Field,2022-04-17T18:35:00Z,108,2022-04-17,5325,9,Final,Los Angeles Angels,Martin Perez,Mike Mayers,2022-04-17 - Los Angeles Angels (8) @ Texas Rangers (3) (Final),R,8,Texas Rangers,662038,Los Angeles Angels,3,1,,140,Texas Rangers,LAA wins 3-1,Martin Perez,[]
,Michael Lorenzen,N,,Top,,Minute Maid Park,2022-04-19T00:10:00Z,108,2022-04-18,2392,9,Final,Los Angeles Angels,Luis Garcia,Luis Garcia,2022-04-18 - Los Angeles Angels (3) @ Houston Astros (8) (Final),R,3,Houston Astros,662928,Houston Astros,8,1,,117,Los Angeles Angels,HOU leads 1-0,Michael Lorenzen,[]
,Patrick Sandoval,N,,Bottom,,Minute Maid Park,2022-04-20T00:10:00Z,108,2022-04-19,2392,9,Final,Los Angeles Angels,Framber Valdez,Oliver Ortega,2022-04-19 - Los Angeles Angels (7) @ Houston Astros (2) (Final),R,7,Houston Astros,662927,Los Angeles Angels,2,1,,117,Houston Astros,Series tied 1-1,Framber Valdez,[]
,Shohei Ohtani,N,,Bottom,,Minute Maid Park,2022-04-20T22:40:00Z,108,2022-04-20,2392,9,Final,Los Angeles Angels,Jake Odorizzi,Shohei Ohtani,2022-04-20 - Los Angeles Angels (6) @ Houston Astros (0) (Final),R,6,Houston Astros,662926,Los Angeles Angels,0,1,,117,Houston Astros,LAA wins 2-1,Jake Odorizzi,[]
,Bruce Zimmermann,N,,Bottom,,Angel Stadium,2022-04-23T01:38:00Z,110,2022-04-22,1,9,Final,Baltimore Orioles,Reid Detmers,Bruce Zimmermann,2022-04-22 - Baltimore Orioles (5) @ Los Angeles Angels (3) (Final),R,5,Los Angeles Angels,661037,Baltimore Orioles,3,1,Jorge Lopez,108,Los Angeles Angels,BAL leads 1-0,Reid Detmers,[]
,Spenser Watkins,N,,Bottom,,Angel Stadium,2022-04-24T01:07:00Z,110,2022-04-23,1,9,Final,Baltimore Orioles,Noah Syndergaard,Bryan Baker,2022-04-23 - Baltimore Orioles (5) @ Los Angeles Angels (4) (Final),R,5,Los Angeles Angels,661035,Baltimore Orioles,4,1,Jorge Lopez,108,Los Angeles Angels,BAL wins 2-0,Aaron Loup,['MLB.tv Free Game']
