away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Zach Thompson,N,,Top,,American Family Field,2022-04-18T23:40:00Z,134,2022-04-18,32,9,Final,Pittsburgh Pirates,Eric Lauer,2022-04-18 - Pittsburgh Pirates (1) @ Milwaukee Brewers (6) (Final),Eric Lauer,R,1,Milwaukee Brewers,661242,Milwaukee Brewers,6,1,,158,Pittsburgh Pirates,MIL leads 1-0,Zach Thompson,['MLB.tv Free Game']
,JT Brubaker,N,,Top,,American Family Field,2022-04-19T23:40:00Z,134,2022-04-19,32,9,Final,Pittsburgh Pirates,Corbin Burnes,2022-04-19 - Pittsburgh Pirates (2) @ Milwaukee Brewers (5) (Final),Corbin Burnes,R,2,Milwaukee Brewers,661211,Milwaukee Brewers,5,1,Josh Hader,158,Pittsburgh Pirates,MIL wins 2-0,JT Brubaker,[]
,Mitch Keller,N,,Top,,American Family Field,2022-04-20T17:40:00Z,134,2022-04-20,32,9,Final,Pittsburgh Pirates,Brandon Woodruff,2022-04-20 - Pittsburgh Pirates (2) @ Milwaukee Brewers (4) (Final),Brandon Woodruff,R,2,Milwaukee Brewers,661203,Milwaukee Brewers,4,1,Josh Hader,158,Pittsburgh Pirates,MIL wins 3-0,Mitch Keller,[]
,Freddy Peralta,N,,Top,,Citizens Bank Park,2022-04-22T23:05:00Z,158,2022-04-22,2681,9,Final,Milwaukee Brewers,Ranger Suarez,2022-04-22 - Milwaukee Brewers (2) @ Philadelphia Phillies (4) (Final),Nick Nelson,R,2,Philadelphia Phillies,661621,Philadelphia Phillies,4,1,Corey Knebel,143,Milwaukee Brewers,PHI leads 1-0,Aaron Ashby,[]
,Adrian Houser,N,,Bottom,,Citizens Bank Park,2022-04-23T20:05:00Z,158,2022-04-23,2681,9,Final,Milwaukee Brewers,Zack Wheeler,2022-04-23 - Milwaukee Brewers (5) @ Philadelphia Phillies (3) (Final),Adrian Houser,R,5,Philadelphia Phillies,661620,Milwaukee Brewers,3,1,Josh Hader,143,Philadelphia Phillies,Series tied 1-1,Zack Wheeler,[]
,Eric Lauer,N,,Bottom,,Citizens Bank Park,2022-04-24T23:08:00Z,158,2022-04-24,2681,9,Final,Milwaukee Brewers,Aaron Nola,2022-04-24 - Milwaukee Brewers (1) @ Philadelphia Phillies (0) (Final),Devin Williams,R,1,Philadelphia Phillies,661640,Milwaukee Brewers,0,1,Josh Hader,143,Philadelphia Phillies,MIL wins 2-1,Corey Knebel,['ESPN']
,Sam Long,N,,Bottom,,American Family Field,2022-04-25T22:10:00Z,137,2022-04-25,32,9,Final,San Francisco Giants,Corbin Burnes,2022-04-25 - San Francisco Giants (4) @ Milwaukee Brewers (2) (Final),Jake McGee,R,4,Milwaukee Brewers,661210,San Francisco Giants,2,1,Camilo Doval,158,Milwaukee Brewers,SF wins Season,Jake Cousins,['MLB.tv Free Game']
,Brandon Woodruff,N,,Bottom,,PNC Park,2022-04-26T22:35:00Z,158,2022-04-26,31,9,Final,Milwaukee Brewers,Mitch Keller,2022-04-26 - Milwaukee Brewers (12) @ Pittsburgh Pirates (8) (Final),Brent Suter,R,12,Pittsburgh Pirates,662297,Milwaukee Brewers,8,1,Josh Hader,134,Pittsburgh Pirates,MIL leads 1-0,Aaron Fletcher,[]
,Aaron Ashby,N,,Bottom,,PNC Park,2022-04-27T22:35:00Z,158,2022-04-27,31,9,Final,Milwaukee Brewers,Dillon Peters,2022-04-27 - Milwaukee Brewers (3) @ Pittsburgh Pirates (1) (Final),Trevor Gott,R,3,Pittsburgh Pirates,662289,Milwaukee Brewers,1,1,Josh Hader,134,Pittsburgh Pirates,MIL wins 2-0,Wil Crowe,[]
,Freddy Peralta,N,,Bottom,,PNC Park,2022-04-28T16:35:00Z,158,2022-04-28,31,9,Final,Milwaukee Brewers,Jose Quintana,2022-04-28 - Milwaukee Brewers (3) @ Pittsburgh Pirates (2) (Final),Hoby Milner,R,3,Pittsburgh Pirates,662295,Milwaukee Brewers,2,1,Devin Williams,134,Pittsburgh Pirates,MIL wins 3-0,Chris Stratton,[]
,Kyle Hendricks,N,,Top,,American Family Field,2022-04-30T00:10:00Z,112,2022-04-29,32,9,Final,Chicago Cubs,Adrian Houser,2022-04-29 - Chicago Cubs (1) @ Milwaukee Brewers (11) (Final),Adrian Houser,R,1,Milwaukee Brewers,661209,Milwaukee Brewers,11,1,,158,Chicago Cubs,MIL leads 1-0,Kyle Hendricks,[]
,Justin Steele,N,,Top,,American Family Field,2022-04-30T23:10:00Z,112,2022-04-30,32,9,Final,Chicago Cubs,Eric Lauer,2022-04-30 - Chicago Cubs (1) @ Milwaukee Brewers (9) (Final),Eric Lauer,R,1,Milwaukee Brewers,661208,Milwaukee Brewers,9,1,,158,Chicago Cubs,MIL wins 2-0,Justin Steele,[]
,Marcus Stroman,N,,Bottom,,American Family Field,2022-05-01T18:10:00Z,112,2022-05-01,32,9,Final,Chicago Cubs,Corbin Burnes,2022-05-01 - Chicago Cubs (2) @ Milwaukee Brewers (0) (Final),Marcus Stroman,R,2,Milwaukee Brewers,661216,Chicago Cubs,0,1,David Robertson,158,Milwaukee Brewers,MIL wins 2-1,Corbin Burnes,[]
,Tyler Mahle,N,,Top,,American Family Field,2022-05-03T23:40:00Z,113,2022-05-03,32,9,Final,Cincinnati Reds,Brandon Woodruff,2022-05-03 - Cincinnati Reds (3) @ Milwaukee Brewers (6) (Final),Brandon Woodruff,R,3,Milwaukee Brewers,661200,Milwaukee Brewers,6,1,Devin Williams,158,Cincinnati Reds,MIL leads 1-0,Tyler Mahle,[]
,Vladimir Gutierrez,N,,Top,,American Family Field,2022-05-04T23:40:00Z,113,2022-05-04,32,9,Final,Cincinnati Reds,Freddy Peralta,2022-05-04 - Cincinnati Reds (4) @ Milwaukee Brewers (18) (Final),Freddy Peralta,R,4,Milwaukee Brewers,661197,Milwaukee Brewers,18,1,,158,Cincinnati Reds,MIL wins 2-0,Vladimir Gutierrez,[]
,Hunter Greene,N,,Top,,American Family Field,2022-05-05T17:40:00Z,113,2022-05-05,32,9,Final,Cincinnati Reds,Adrian Houser,2022-05-05 - Cincinnati Reds (5) @ Milwaukee Brewers (10) (Final),Adrian Houser,R,5,Milwaukee Brewers,661204,Milwaukee Brewers,10,1,,158,Cincinnati Reds,MIL wins 3-0,Hunter Greene,['MLB.tv Free Game']
,Eric Lauer,N,,Bottom,,Truist Park,2022-05-06T23:20:00Z,158,2022-05-06,4705,9,Final,Milwaukee Brewers,Jesse Chavez,2022-05-06 - Milwaukee Brewers (6) @ Atlanta Braves (3) (Final),Eric Lauer,R,6,Atlanta Braves,661541,Milwaukee Brewers,3,1,Josh Hader,144,Atlanta Braves,MIL leads 1-0,Collin McHugh,['MLB.tv Free Game']
,Corbin Burnes,N,,Top,,Truist Park,2022-05-07T23:20:00Z,158,2022-05-07,4705,9,Final,Milwaukee Brewers,Max Fried,2022-05-07 - Milwaukee Brewers (2) @ Atlanta Braves (3) (Final),Max Fried,R,2,Atlanta Braves,661540,Atlanta Braves,3,1,Kenley Jansen,144,Milwaukee Brewers,Series tied 1-1,Corbin Burnes,['MLB.tv Free Game']
,Aaron Ashby,N,,Top,,Truist Park,2022-05-08T17:35:00Z,158,2022-05-08,4705,9,Final,Milwaukee Brewers,Charlie Morton,2022-05-08 - Milwaukee Brewers (2) @ Atlanta Braves (9) (Final),Charlie Morton,R,2,Atlanta Braves,661550,Atlanta Braves,9,1,,144,Milwaukee Brewers,ATL wins 2-1,Aaron Ashby,['MLB.tv Free Game']
,Brandon Woodruff,N,,Top,,Great American Ball Park,2022-05-09T22:40:00Z,158,2022-05-09,2602,9,Final,Milwaukee Brewers,Luis Castillo,2022-05-09 - Milwaukee Brewers (5) @ Cincinnati Reds (10) (Final),Luis Cessa,R,5,Cincinnati Reds,663101,Cincinnati Reds,10,1,,113,Milwaukee Brewers,CIN leads 1-0,Brandon Woodruff,[]
