away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Logan Gilbert,N,,Bottom,Guaranteed Rate Field,2022-04-14T18:10:00Z,136,2022-04-14,4,9,Final,Seattle Mariners,Jimmy Lambert,Logan Gilbert,2022-04-14 - Seattle Mariners (5) @ Chicago White Sox (1) (Final),R,5,Chicago White Sox,661529,Seattle Mariners,1,1,,145,Chicago White Sox,CWS wins 2-1,Jimmy Lambert,[]
,Drew Rasmussen,N,,Top,Guaranteed Rate Field,2022-04-15T23:10:00Z,139,2022-04-15,4,9,Final,Tampa Bay Rays,Dylan Cease,Dylan Cease,2022-04-15 - Tampa Bay Rays (2) @ Chicago White Sox (3) (Final),R,2,Chicago White Sox,661528,Chicago White Sox,3,1,Liam Hendriks,145,Tampa Bay Rays,CWS leads 1-0,Drew Rasmussen,['Apple TV+']
,Corey Kluber,N,,Top,Guaranteed Rate Field,2022-04-16T18:10:00Z,139,2022-04-16,4,9,Final,Tampa Bay Rays,Michael Kopech,Reynaldo Lopez,2022-04-16 - Tampa Bay Rays (2) @ Chicago White Sox (3) (Final),R,2,Chicago White Sox,661527,Chicago White Sox,3,1,Liam Hendriks,145,Tampa Bay Rays,CWS wins 2-0,Ryan Thompson,[]
,J.P. Feyereisen,N,,Bottom,Guaranteed Rate Field,2022-04-17T18:10:00Z,139,2022-04-17,4,9,Final,Tampa Bay Rays,Vince Velasquez,Chris Mazza,2022-04-17 - Tampa Bay Rays (9) @ Chicago White Sox (3) (Final),R,9,Chicago White Sox,661462,Tampa Bay Rays,3,1,,145,Chicago White Sox,CWS wins 2-1,Vince Velasquez,[]
,Dallas Keuchel,N,,,Progressive Field,2022-04-18T22:10:00Z,145,2022-04-18,5,,Postponed,Chicago White Sox,Shane Bieber,,2022-04-18 - Chicago White Sox @ Cleveland Guardians (Postponed),R,0,Cleveland Guardians,663087,,0,1,,114,,CLE leads 2-0,,['MLBN (out-of-market only)']
,Dallas Keuchel,N,,,Progressive Field,2022-04-19T22:10:00Z,145,2022-04-19,5,,Postponed,Chicago White Sox,Shane Bieber,,2022-04-19 - Chicago White Sox @ Cleveland Guardians (Postponed),R,0,Cleveland Guardians,663075,,0,1,,114,,CLE wins 2-0,,[]
,Dallas Keuchel,Y,,Top,Progressive Field,2022-04-20T18:10:00Z,145,2022-04-20,5,9,Final,Chicago White Sox,Shane Bieber,Shane Bieber,2022-04-20 - Chicago White Sox (1) @ Cleveland Guardians (11) (Final),R,1,Cleveland Guardians,663094,Cleveland Guardians,11,1,,114,Chicago White Sox,CLE leads 1-0,Dallas Keuchel,[]
,Jimmy Lambert,Y,,Top,Progressive Field,2022-04-20T18:15:00Z,145,2022-04-20,5,9,Final,Chicago White Sox,Triston McKenzie,Anthony Gose,2022-04-20 - Chicago White Sox (1) @ Cleveland Guardians (2) (Final),R,1,Cleveland Guardians,663075,Cleveland Guardians,2,2,Emmanuel Clase,114,Chicago White Sox,CLE wins 2-0,Jimmy Lambert,[]
,Dylan Cease,N,,Top,Progressive Field,2022-04-21T17:10:00Z,145,2022-04-21,5,9,Final,Chicago White Sox,Zach Plesac,Zach Plesac,2022-04-21 - Chicago White Sox (3) @ Cleveland Guardians (6) (Final),R,3,Cleveland Guardians,663093,Cleveland Guardians,6,1,Emmanuel Clase,114,Chicago White Sox,CLE wins 3-0,Dylan Cease,['MLBN (out-of-market only)']
,Michael Kopech,N,,Top,Target Field,2022-04-23T00:10:00Z,145,2022-04-22,3312,9,Final,Chicago White Sox,Bailey Ober,Tyler Duffey,2022-04-22 - Chicago White Sox (1) @ Minnesota Twins (2) (Final),R,1,Minnesota Twins,661755,Minnesota Twins,2,1,Emilio Pagan,142,Chicago White Sox,MIN leads 1-0,Kendall Graveman,[]
,Vince Velasquez,N,,Top,Target Field,2022-04-23T20:05:00Z,145,2022-04-23,3312,9,Final,Chicago White Sox,Dylan Bundy,Dylan Bundy,2022-04-23 - Chicago White Sox (2) @ Minnesota Twins (9) (Final),R,2,Minnesota Twins,661752,Minnesota Twins,9,1,,142,Chicago White Sox,MIN wins 2-0,Vince Velasquez,['FS1']
,Lucas Giolito,N,,Bottom,Target Field,2022-04-24T18:10:00Z,145,2022-04-24,3312,10,Final,Chicago White Sox,Chris Archer,Joe Smith,2022-04-24 - Chicago White Sox (4) @ Minnesota Twins (6) (Final),R,4,Minnesota Twins,661781,Minnesota Twins,6,1,,142,Chicago White Sox,MIN wins 3-0,Liam Hendriks,[]
,Daniel Lynch,N,,Bottom,Guaranteed Rate Field,2022-04-26T23:10:00Z,118,2022-04-26,4,9,Final,Kansas City Royals,Dallas Keuchel,Daniel Lynch,2022-04-26 - Kansas City Royals (6) @ Chicago White Sox (0) (Final),R,6,Chicago White Sox,661536,Kansas City Royals,0,1,,145,Chicago White Sox,KC leads 1-0,Dallas Keuchel,[]
